PROBE_ID,SEQ_ID,BH_FDR,Time_Effect
1052_ARL6IP4_51329;285,1052_ARL6IP4_51329,0.00000009,0.8745
1052_ARL6IP4_51329;289,1052_ARL6IP4_51329,0.00000017,0.8645
1052_ARL6IP4_51329;293,1052_ARL6IP4_51329,0.00000014,0.8538
FBXL19_AS1_T130509_G030577_1_4499_4918_420;5,FBXL19_AS1_T130509_G030577_1_4499_4918_420,0.00000006,0.8271
946_NKTR_4820;425,946_NKTR_4820,0.00000008,0.8119
CAT151.3_T027960_G006287_2_15387_15731_345;101,CAT151.3_T027960_G006287_2_15387_15731_345,0.00000007,0.7996
876_SON_6651;109,876_SON_6651,0.00000008,0.798
209_RPL41_6171;1,209_RPL41_6171,0.00000009,0.7952
946_NKTR_4820;225,946_NKTR_4820,0.00000012,0.7896
946_NKTR_4820;437,946_NKTR_4820,0.00000017,0.7879
876_SON_6651;105,876_SON_6651,0.0000001,0.7833
364_TCF25_22980;121,364_TCF25_22980,0.00000009,0.7773
290_BRD2_6046;545,290_BRD2_6046,0.00000008,0.768
1057_SRRM1_10250;817,1057_SRRM1_10250,0.00000008,0.7658
209_RPL41_6171;5,209_RPL41_6171,0.00000011,0.7653
1102_BRD1_23774;417,1102_BRD1_23774,0.00000007,0.7606
ADT6;433,ADT6,0.0000001,0.7589
946_NKTR_4820;429,946_NKTR_4820,0.00000007,0.7549
CAT151.3_T027960_G006287_2_15387_15731_345;97,CAT151.3_T027960_G006287_2_15387_15731_345,0.00000006,0.7491
114_SRRM2_23524;181,114_SRRM2_23524,0.00000006,0.7466
244_RPL7_6129;21,244_RPL7_6129,0.0000001,0.7439
738_SPATS2L_26010;61,738_SPATS2L_26010,0.00000011,0.7429
440_NOP58_51602;481,440_NOP58_51602,0.00000006,0.7375
1000_H2AFY_9555;145,1000_H2AFY_9555,0.00000006,0.7372
1253_ANKRD11_29123;629,1253_ANKRD11_29123,0.00000006,0.736
404_ELL2_22936;457,404_ELL2_22936,0.00000017,0.7346
946_NKTR_4820;441,946_NKTR_4820,0.00000013,0.7345
387_RPS3A_6189;5,387_RPS3A_6189,0.00000007,0.7329
103_RPS25_6230;21,103_RPS25_6230,0.00000006,0.7305
1253_ANKRD11_29123;445,1253_ANKRD11_29123,0.00000023,0.7272
114_SRRM2_23524;177,114_SRRM2_23524,0.00000017,0.7261
891_PTPLAD1_51495;345,891_PTPLAD1_51495,0.00000012,0.7253
CAT151.3_T027960_G006287_2_15387_15731_345;93,CAT151.3_T027960_G006287_2_15387_15731_345,0.00000021,0.722
125_RPS27A_6233;69,125_RPS27A_6233,0.00000014,0.7218
1425_SSRP1_6749;617,1425_SSRP1_6749,0.00000013,0.7212
442_PNRC1_10957;85,442_PNRC1_10957,0.00000006,0.7189
1102_BRD1_23774;85,1102_BRD1_23774,0.00000012,0.7185
569_NAP1L1_4673;265,569_NAP1L1_4673,0.00000006,0.7176
BOLA3_AS1_T191973_G044207_1_1427_1822_396;73,BOLA3_AS1_T191973_G044207_1_1427_1822_396,0.00000016,0.7165
364_TCF25_22980;117,364_TCF25_22980,0.00000009,0.7157
761_MCM3_4172;653,761_MCM3_4172,0.00000007,0.7152
969_C8orf4_56892;85,969_C8orf4_56892,0.00000013,0.7139
876_SON_6651;113,876_SON_6651,0.00000026,0.7138
211_RPS15_6209;49,211_RPS15_6209,0.00000024,0.7132
321_SSB_6741;329,321_SSB_6741,0.00000007,0.7085
832_RPL3_6122;113,832_RPL3_6122,0.00000017,0.7084
PRO30;1649,PRO30,0.00000019,0.7082
FBXL19_AS1_T130509_G030577_1_4499_4918_420;9,FBXL19_AS1_T130509_G030577_1_4499_4918_420,0.00000022,0.7074
244_RPL7_6129;33,244_RPL7_6129,0.00000009,0.7072
967_FAM111A_63901;193,967_FAM111A_63901,0.00000022,0.7069
290_BRD2_6046;541,290_BRD2_6046,0.00000016,0.7063
209_RPL41_6171;13,209_RPL41_6171,0.0000003,0.7054
507_H1F0_3005;181,507_H1F0_3005,0.00000008,0.7045
1378_CHD7_55636;1685,1378_CHD7_55636,0.00000009,0.703
1163_CARS2_79587;317,1163_CARS2_79587,0.00000021,0.7006
300_GNL3_26354;9,300_GNL3_26354,0.00000013,0.6996
946_NKTR_4820;989,946_NKTR_4820,0.00000013,0.6994
731_F5_2153;1021,731_F5_2153,0.00000029,0.6992
946_NKTR_4820;421,946_NKTR_4820,0.00000009,0.6991
1375_ARID4B_51742;629,1375_ARID4B_51742,0.00000015,0.6972
